key_ID,village,interview_date,years_farm,no_membrs,years_liv,respondent_roof_type,respondent_wall_type,buildings_in_compound,no_plots,water_use,months_no_water,memb_assoc,affect_conflicts,emply_lab,du_labour,liv_owned,liv_count,poultry,du_look_aftr_cows,items_owned,no_meals,months_lack_food,no_food_mitigation,gps_Latitude,gps_Longitude,instanceID
182,God,2016-11-25T00:00:00Z,20,7,21,mabatipitched,muddaub,2,1,yes,Sept;Oct;Nov,no,more_once,no,no,oxen;cows,2,yes,no,solar_panel,3,Jan;Feb;Nov;Dec,na,-19.11204151,33.48345447,uuid:394033e8-a6e2-4e39-bfac-458753a1ed78
186,God,2016-11-28T00:00:00Z,24,7,24,grass,muddaub,1,1,yes,Sept;Oct,no,more_once,no,no,oxen;cows,2,no,no,cow_plough;mobile_phone,3,none,na,-19.11232028,33.48346266,uuid:268bfd97-991c-473f-bd51-bc80676c65c6
187,God,2016-11-28T00:00:00Z,1,5,43,grass,muddaub,3,2,yes,Sept;Oct;Nov,yes,more_once,no,no,oxen;cows;goats;poultry,4,yes,no,cow_cart;motorcyle;bicycle;television;radio;cow_plough;solar_panel;solar_torch;mobile_phone,3,none,na,-19.1122345,33.48349248,uuid:0a42c9ee-a840-4dda-8123-15c1bede5dfc
195,God,2016-11-28T00:00:00Z,7,5,48,grass,burntbricks,3,3,yes,Sept;Oct;Nov,no,never,yes,no,oxen;cows;poultry,3,no,no,cow_cart;bicycle;radio;cow_plough;solar_torch,2,Sept;Oct;Nov,lab_ex_food,-19.11220559,33.48342104,uuid:2c132929-9c8f-450a-81ff-367360ce2c19
196,God,2016-11-28T00:00:00Z,21,7,49,mabatisloping,burntbricks,2,2,yes,Oct;Nov,yes,more_once,no,no,oxen;cows;goats,3,yes,no,radio;cow_plough;mobile_phone,3,none,na,-19.11220357,33.48340018,uuid:44e427d1-a448-4bf2-b529-7d67b2266c06
197,God,2016-11-28T00:00:00Z,11,5,19,mabatisloping,burntbricks,1,2,yes,Aug;Sept;Oct;Nov,no,more_once,yes,no,oxen;cows;goats,3,yes,yes,bicycle;television;radio;cow_plough;solar_torch;table;mobile_phone,2,Nov,rely_less_food;limit_variety;reduce_meals,-19.11218716,33.4833828,uuid:85c99fd2-775f-40c9-8654-68223f59d091
198,God,2016-11-28T00:00:00Z,11,3,49,grass,burntbricks,1,2,yes,Jan;Dec,no,never,yes,no,none,1,yes,no,NULL,3,Nov,reduce_meals;lab_ex_food,-19.11212338,33.48338774,uuid:28c64954-739c-444c-a6e0-355878e471c8
201,God,2016-11-21T00:00:00Z,6,4,6,grass,muddaub,1,2,no,NULL,NULL,NULL,no,yes,oxen;cows,2,yes,no,bicycle;radio;solar_torch;mobile_phone,2,Oct;Nov;Dec,borrow_food;lab_ex_food,-19.11217226,33.48338504,uuid:9e79a31c-3ea5-44f0-80f9-a32db49422e3
202,God,2016-11-17T00:00:00Z,12,12,12,mabatisloping,burntbricks,2,2,yes,Aug;Sept;Oct;Nov;Dec,yes,more_once,no,yes,oxen;cows;goats,3,yes,no,cow_cart;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone,3,Jan;Feb;Mar;Oct;Nov;Dec,rely_less_food;limit_variety;reduce_meals;restrict_adults;lab_ex_food,-19.11218863,33.48340466,uuid:06d39051-38ef-4757-b68b-3327b1f16b9d
72,Ruaca,2017-04-26T00:00:00Z,24,6,24,grass,muddaub,2,3,yes,Aug;Sept;Oct;Nov,yes,more_once,no,yes,oxen;cows;goats,3,yes,no,bicycle;radio;cow_plough,2,Jan;Aug;Sept;Oct;Nov;Dec,rely_less_food;limit_variety;limit_portion;reduce_meals;lab_ex_food,-19.11221489,33.48347358,uuid:c4a2c982-244e-45a5-aa4b-71fa53f99e18
73,Ruaca,2017-04-26T00:00:00Z,6,7,9,mabatisloping,burntbricks,2,3,yes,Sept;Oct;Nov,yes,more_once,yes,no,oxen;cows;goats,3,yes,no,cow_cart;motorcyle;bicycle;television;radio;cow_plough;solar_panel;table;mobile_phone,3,Jan;Sept;Oct,rely_less_food;limit_variety,-19.11219747,33.48341488,uuid:ac3da862-9e6c-4962-94b6-f4c31624f207
76,Ruaca,2017-04-26T00:00:00Z,22,17,48,mabatipitched,burntbricks,5,6,yes,Sept;Oct,yes,more_once,no,no,oxen;cows;goats;poultry,4,yes,no,bicycle;radio;cow_plough;solar_panel;mobile_phone,3,none,na,-19.11220193,33.48341762,uuid:4178a296-903a-4a8e-9cfa-0cd6143476e8
83,Ruaca,2017-04-27T00:00:00Z,17,5,22,mabatisloping,burntbricks,2,2,yes,Aug;Sept;Oct,yes,never,no,no,oxen;cows,2,no,no,radio;cow_plough;solar_torch,2,Aug;Sept;Oct,borrow_food;lab_ex_food,-19.11231638,33.48349754,uuid:a1e9df00-c8ae-411c-931c-c7df898c68d0
85,Ruaca,2017-04-27T00:00:00Z,12,7,40,grass,sunbricks,3,3,yes,Sept;Oct,no,never,yes,yes,oxen;cows,2,yes,no,radio;cow_plough,2,Oct;Nov,na,-19.11235114,33.48358508,uuid:4d0f472b-f8ae-4026-87c9-6b5be14b0a70
89,God,2017-04-27T00:00:00Z,10,5,10,mabatisloping,burntbricks,2,2,yes,Sept;Oct,no,never,no,yes,oxen;cows;goats,3,no,no,bicycle;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone,3,Oct;Nov,rely_less_food;limit_variety;go_forest;lab_ex_food,-19.11231667,33.48348329,uuid:b3b309c6-f234-4830-8b30-87d26a17ee1d
101,God,2017-04-27T00:00:00Z,10,3,4,grass,muddaub,1,2,yes,Sept;Oct;Nov,no,never,no,yes,goats,1,no,yes,bicycle;solar_torch,3,Sept;Oct;Nov,rely_less_food;limit_variety;reduce_meals;restrict_adults;borrow_food;lab_ex_food,-19.11223501,33.48341767,uuid:3c174acd-e431-4523-9ad6-eb14cddca805
103,Ruaca,2017-04-27T00:00:00Z,50,6,96,mabatisloping,sunbricks,2,2,yes,Aug;Sept;Oct;Nov,no,never,yes,no,oxen;cows;goats;pigs;poultry,5,yes,no,cow_cart;cow_plough;solar_panel;sofa_set;mobile_phone,3,Jan;Feb;Dec,go_forest,-19.11219049,33.48337002,uuid:e9d79844-ef14-493b-bbd6-d13691cc660e
102,Ruaca,2017-04-28T00:00:00Z,15,12,15,mabatisloping,burntbricks,3,2,yes,Aug;Sept;Oct,yes,frequently,no,yes,cows;goats,2,no,no,cow_plough;table;sofa_set;mobile_phone,3,Jan;Feb,lab_ex_food,-19.04413333,33.40388996,uuid:76206b0b-af74-4344-b24f-81e839f0d7b0
78,Ruaca,2017-04-28T00:00:00Z,20,6,48,mabatipitched,burntbricks,2,2,yes,Aug;Sept,no,more_once,no,no,oxen;cows,2,no,no,cow_plough,2,Aug;Sept;Oct,na,-19.04402591,33.40398184,uuid:da3fa7cc-5ce9-44fd-9a78-b8982b607515
80,Ruaca,2017-04-28T00:00:00Z,12,5,12,mabatipitched,muddaub,1,1,yes,Sept;Oct;Nov,no,more_once,no,yes,none,1,yes,no,cow_cart;bicycle;radio;cow_plough;solar_panel;solar_torch,3,none,na,-19.04415001,33.40390046,uuid:a85df6df-0336-46fa-a9f4-522bf6f8b438
104,Ruaca,2017-04-28T00:00:00Z,35,14,52,grass,sunbricks,4,4,yes,Aug;Sept,yes,never,no,no,oxen;cows;goats;pigs,4,yes,no,cow_cart;bicycle;cow_plough,3,Jan;Feb;Dec,go_forest;lab_ex_food,-19.11225606,33.4833734,uuid:bb2bb365-7d7d-4fe9-9353-b21269676119
105,Ruaca,2017-04-28T00:00:00Z,20,6,40,mabatisloping,sunbricks,2,2,yes,Aug;Sept;Oct;Nov,yes,frequently,no,yes,cows;poultry,2,yes,yes,motorcyle;radio;cow_plough;solar_panel;mobile_phone,3,Jan;Feb;Dec,lab_ex_food,-19.11221203,33.48350526,uuid:af0904ee-4fdb-4090-973f-599c81ddf022
106,God,2017-04-30T00:00:00Z,22,15,22,mabatisloping,sunbricks,4,5,yes,Aug;Sept;Oct;Nov,no,never,yes,no,oxen;cows,2,yes,no,cow_cart;motorcyle;bicycle;radio;sterio;cow_plough;solar_panel;solar_torch;table;mobile_phone,3,Oct;Nov;Dec,lab_ex_food;seek_government,-19.11220965,33.48340866,uuid:468797c1-4a65-4f35-9c83-e28ce46972a2
109,God,2017-05-03T00:00:00Z,12,4,12,grass,sunbricks,1,3,no,NULL,NULL,NULL,no,no,oxen;cows;goats,3,yes,no,cow_cart;bicycle;radio;cow_plough;table,3,July;Aug;Sept;Oct;Nov,rely_less_food;limit_portion;reduce_meals,-19.11222402,33.48338036,uuid:602cd3f6-4a97-49c6-80e3-bcfd5c78dfa4
110,Ruaca,2017-05-03T00:00:00Z,22,6,22,mabatisloping,sunbricks,2,3,yes,Aug;Sept;Oct;Nov,no,never,no,no,oxen;cows;goats,3,yes,no,bicycle;radio;cow_plough;table;mobile_phone,2,none,na,-19.11219756,33.48339714,uuid:e7c51ac4-24e4-475e-88e7-f85e896945e3
113,Ruaca,2017-05-03T00:00:00Z,16,11,26,mabatisloping,burntbricks,2,3,yes,Sept;Oct,no,never,yes,no,oxen;cows;goats;poultry,4,no,no,cow_cart;motorcyle;bicycle;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone,3,none,na,-19.11222682,33.48340708,uuid:01210861-aba1-4268-98d0-0260e05f5155
118,Ruaca,2017-05-04T00:00:00Z,6,5,25,grass,muddaub,2,1,no,NULL,NULL,NULL,no,yes,none,1,yes,no,radio;solar_torch;mobile_phone,3,Oct;Nov;Dec,rely_less_food;limit_variety;reduce_meals;borrow_food;lab_ex_food,-19.11220573,33.48344178,uuid:77335b2e-8812-4a35-b1e5-ca9ab626dfea
125,Ruaca,2017-05-04T00:00:00Z,7,5,14,mabatisloping,burntbricks,1,3,yes,Aug;Sept;Oct;Nov,no,more_once,yes,yes,oxen;cows,2,no,yes,bicycle;radio;cow_plough;solar_panel;solar_torch;mobile_phone,3,Jan;Sept;Oct;Nov;Dec,borrow_food;lab_ex_food,-19.11218005,33.4834101,uuid:02b05c68-302e-4e7a-b229-81cb1377fd29
119,Ruaca,2017-05-04T00:00:00Z,14,3,14,grass,muddaub,4,2,yes,NULL,no,never,no,no,oxen;cows;goats;poultry,4,no,no,bicycle;cow_plough;solar_panel;mobile_phone,3,none,na,-19.11225658,33.48334839,uuid:fa201fce-4e94-44b8-b435-c558c2e1ed55
115,Ruaca,2017-05-11T00:00:00Z,16,4,16,mabatisloping,sunbricks,3,2,no,NULL,NULL,NULL,yes,no,oxen;cows;goats,3,yes,no,cow_cart;motorcyle;bicycle;television;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone,3,none,na,-19.1114691,33.4761047,uuid:628fe23d-188f-43e4-a203-a4bf3257d461
108,God,2017-05-11T00:00:00Z,22,15,22,mabatisloping,burntbricks,3,3,yes,Sept;Oct;Nov,no,never,no,no,oxen;cows;goats;poultry,4,yes,no,cow_cart;bicycle;radio;cow_plough;solar_panel;table;mobile_phone,3,Aug;Sept;Oct;Nov,rely_less_food;limit_portion;reduce_meals,-19.1114691,33.4761047,uuid:e4f4d6ba-e698-45a5-947f-ba6da88cc22b
116,Ruaca,2017-05-11T00:00:00Z,21,5,25,grass,burntbricks,2,1,no,NULL,NULL,NULL,no,yes,oxen;cows;goats,3,yes,no,motorcyle;bicycle;television;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone,3,Jan;Nov;Dec,rely_less_food;limit_variety;reduce_meals;lab_ex_food,-19.1114691,33.4761047,uuid:cfee6297-2c0e-4f8a-94cc-9aaee0bd64cb
117,Ruaca,2017-05-11T00:00:00Z,1,10,28,grass,muddaub,1,1,no,NULL,NULL,NULL,no,yes,none,1,yes,no,motorcyle;television;radio;solar_panel;solar_torch;table;mobile_phone,3,Jan;Feb;Nov;Dec,rely_less_food;limit_variety;reduce_meals;restrict_adults;borrow_food;lab_ex_food,-19.1114691,33.4761047,uuid:3fe626b3-c794-48e1-a80f-5bfe440c507b
144,Ruaca,2017-05-18T00:00:00Z,5,7,5,mabatisloping,burntbricks,3,2,yes,Sept;Oct;Nov,no,frequently,no,no,oxen;cows;goats;sheep,4,yes,no,cow_cart;television;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone,2,none,na,-19.11218801,33.48342233,uuid:0670cef6-d233-4852-89d8-36955261b0a3
143,Ruaca,2017-05-18T00:00:00Z,24,10,24,grass,burntbricks,3,3,yes,Sept;Oct;Nov,no,frequently,yes,no,oxen;cows;goats,3,yes,no,cow_cart;motorcyle;television;radio;cow_plough;solar_torch;table;mobile_phone,3,Jan;Dec,rely_less_food;limit_variety,-19.1124845,33.4763322,uuid:9a096a12-b335-468c-b3cc-1191180d62de
150,Ruaca,2017-05-18T00:00:00Z,8,7,8,grass,muddaub,2,2,yes,Apr;May;June;July;Aug;Sept;Oct;Nov,no,never,no,yes,cows,1,no,yes,mobile_phone,3,Sept;Oct;Nov,reduce_meals;lab_ex_food,-19.11147739,33.47618369,uuid:92613d0d-e7b1-4d62-8ea4-451d7cd0a982
159,God,2017-05-18T00:00:00Z,17,4,24,grass,sunbricks,2,2,yes,NULL,no,never,no,yes,none,1,no,no,radio;solar_panel;solar_torch,3,Sept;Oct;Nov,lab_ex_food,-19.11149498,33.47617506,uuid:37577f91-d665-443e-8d70-b914954cef4b
160,God,2017-06-03T00:00:00Z,3,7,13,mabatisloping,burntbricks,2,3,yes,Jan;Dec,yes,frequently,yes,yes,oxen;cows,2,yes,no,cow_cart;cow_plough;solar_torch;mobile_phone,2,Nov,lab_ex_food,-19.11218456,33.4834495,uuid:f22831ec-6bc3-4b73-9197-4b01e01abb66
165,Ruaca,2017-06-03T00:00:00Z,14,9,14,grass,burntbricks,1,2,yes,Aug;Sept;Oct;Nov;Dec,no,never,no,no,oxen;cows;goats,3,yes,no,cow_cart;motorcyle;bicycle;television;radio;cow_plough;solar_torch;electricity;table;sofa_set;mobile_phone;fridge,3,none,na,-19.11217437,33.48346513,uuid:62f3f7af-f0f3-4f88-b9e0-acf8baa49ae4
166,Ruaca,2017-06-03T00:00:00Z,16,11,16,grass,muddaub,2,3,yes,Aug;Sept;Oct,no,never,no,yes,goats,1,yes,no,bicycle;solar_torch;mobile_phone,2,Feb;Mar,go_forest;lab_ex_food,-19.1138589,33.4826653,uuid:40aac732-94df-496c-97ba-5b67f59bcc7a
167,Ruaca,2017-06-03T00:00:00Z,16,8,24,grass,muddaub,5,2,yes,July;Aug;Sept;Oct;Nov;Dec,no,never,no,yes,oxen;cows;goats,3,yes,yes,motorcyle;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone,2,Jan;Nov;Dec,lab_ex_food,-19.1149887,33.4882685,uuid:a9d1a013-043b-475d-a71b-77ed80abe970
174,Ruaca,2017-06-03T00:00:00Z,13,12,25,grass,burntbricks,2,3,yes,Sept;Oct;Nov;Dec,no,never,yes,no,oxen;cows;goats,3,yes,no,car;lorry;motorcyle;radio;sterio;cow_plough;solar_panel;solar_torch;table;sofa_set;mobile_phone;fridge,3,Jan;Feb;Dec,lab_ex_food,-19.11216751,33.48340539,uuid:43ec6132-478c-4f87-878d-fb3c0c4d0c74
175,Ruaca,2017-06-03T00:00:00Z,11,7,36,mabatisloping,burntbricks,2,2,yes,Oct;Nov,no,never,no,no,oxen;cows;goats;poultry,4,yes,yes,motorcyle;bicycle;radio;sterio;cow_plough;solar_panel;table;mobile_phone,2,Jan;Oct;Nov;Dec,na,-19.11217963,33.48336019,uuid:64fc743e-8176-40f6-8ae4-36ae97fac1d9
189,Ruaca,2017-06-03T00:00:00Z,10,15,16,mabatisloping,sunbricks,2,3,yes,Aug;Sept;Oct;Nov;Dec,no,never,no,yes,oxen;cows;goats,3,yes,no,motorcyle;radio;sterio;cow_plough;solar_panel;table;mobile_phone,3,Nov,na,-19.11216796,33.48341529,uuid:c17e374c-280b-4e78-bf21-74a7c1c73492
191,Ruaca,2017-06-03T00:00:00Z,3,10,5,mabatisloping,burntbricks,1,2,yes,Sept;Oct;Nov,no,never,no,no,cows,1,yes,no,radio;cow_plough;solar_panel;solar_torch;mobile_phone,2,Oct;Nov;Dec,go_forest;lab_ex_food,-19.11219207,33.48338051,uuid:dad53aff-b520-4015-a9e3-f5fdf9168fe1
192,Chirodzo,2017-06-03T00:00:00Z,15,9,20,grass,burntbricks,4,3,yes,Sept;Nov,no,once,yes,yes,none,1,yes,no,bicycle;television;radio;sterio;solar_panel;solar_torch;table;mobile_phone,3,Jan;Nov;Dec,borrow_food,-19.11215404,33.48335905,uuid:f94409a6-e461-4e4c-a6fb-0072d3d58b00
126,Ruaca,2017-05-18T00:00:00Z,5,3,7,grass,burntbricks,1,2,yes,Sept;Oct;Nov,no,more_once,yes,yes,oxen;cows;goats,3,yes,no,motorcyle;radio;solar_panel,3,Oct;Nov;Dec,rely_less_food;lab_ex_food,-19.11219355,33.48337856,uuid:69caea81-a4e5-4e8d-83cd-9c18d8e8d965
193,Ruaca,2017-06-04T00:00:00Z,10,7,10,mabatisloping,cement,3,4,yes,Oct;Nov;Dec,no,more_once,no,yes,oxen;cows;goats,3,no,no,car;lorry;television;radio;sterio;cow_plough;solar_torch;electricity;table;sofa_set;mobile_phone;fridge,3,none,na,-19.11215668,33.48339039,uuid:5ccc2e5a-ea90-48b5-8542-69400d5334df
194,Ruaca,2017-06-04T00:00:00Z,5,4,5,grass,muddaub,2,2,yes,Aug;Sept;Oct,no,more_once,no,yes,poultry,1,no,no,radio;solar_panel;solar_torch;mobile_phone,3,Sept;Oct;Nov,lab_ex_food,-19.11227133,33.48347111,uuid:95c11a30-d44f-40c4-8ea8-ec34fca6bbbf
199,Chirodzo,2017-06-04T00:00:00Z,17,7,17,mabatisloping,burntbricks,1,2,yes,Sept;Oct;Nov,yes,more_once,yes,no,oxen;cows,2,yes,no,cow_cart;lorry;motorcyle;computer;television;radio;sterio;cow_plough;solar_panel;solar_torch;electricity;mobile_phone,3,Nov;Dec,rely_less_food;limit_variety;reduce_meals;restrict_adults;lab_ex_food,-19.11227751,33.48338952,uuid:ffc83162-ff24-4a87-8709-eff17abc0b3b
200,Chirodzo,2017-06-04T00:00:00Z,20,8,20,mabatisloping,burntbricks,1,2,no,NULL,NULL,NULL,no,yes,oxen;goats;pigs,3,yes,no,radio;cow_plough;solar_panel;solar_torch;table;mobile_phone,3,Oct;Nov,rely_less_food;restrict_adults;borrow_food,-19.11218302,33.48337175,uuid:aa77a0d7-7142-41c8-b494-483a5b68d8a7
